Bias (V)	ADC0-I (V) avg.	ADC0-I (V) [1]	ADC0-I (V) [2]	ADC0-I (V) [3]	ADC0-I (V) [4]	ADC0-I (V) [5]	
-1.999880	-0.064638	-0.065310	-0.065615	-0.063784	-0.063478	-0.065004	
-1.986540	-0.062929	-0.061953	-0.065310	-0.062563	-0.061342	-0.063478	
-1.973210	-0.061220	-0.060121	-0.064089	-0.060732	-0.060732	-0.060427	
-1.959880	-0.059084	-0.058290	-0.061647	-0.058290	-0.060121	-0.057070	
-1.946550	-0.056825	-0.056764	-0.058290	-0.056154	-0.058290	-0.054628	
-1.933210	-0.055238	-0.055544	-0.056459	-0.054323	-0.055544	-0.054323	
-1.919880	-0.054018	-0.054018	-0.055239	-0.053102	-0.053713	-0.054018	
-1.906550	-0.052248	-0.052187	-0.053102	-0.051576	-0.051881	-0.052492	
-1.893210	-0.050050	-0.050356	-0.051271	-0.049135	-0.050356	-0.049135	
-1.879880	-0.047975	-0.049440	-0.048830	-0.047609	-0.048524	-0.045473	
-1.866550	-0.046083	-0.047304	-0.046693	-0.045778	-0.046388	-0.044252	
-1.853210	-0.044801	-0.045473	-0.045473	-0.044252	-0.044862	-0.043947	
-1.839880	-0.043092	-0.043031	-0.044252	-0.042115	-0.043336	-0.042726	
-1.826550	-0.041261	-0.041505	-0.043031	-0.039979	-0.041505	-0.040284	
-1.813210	-0.039796	-0.040590	-0.040284	-0.040590	-0.039979	-0.037538	
-1.799880	-0.037782	-0.038453	-0.038148	-0.038453	-0.038148	-0.035707	
-1.786550	-0.036439	-0.037233	-0.036622	-0.036622	-0.036622	-0.035096	
-1.773210	-0.035218	-0.035707	-0.036012	-0.036012	-0.034791	-0.033570	
-1.759880	-0.033631	-0.033875	-0.034486	-0.034181	-0.033875	-0.031739	
-1.746550	-0.032167	-0.032350	-0.033265	-0.032655	-0.032655	-0.029908	
-1.733220	-0.030641	-0.031129	-0.031129	-0.031129	-0.031129	-0.028687	
-1.719880	-0.029664	-0.030519	-0.029908	-0.030213	-0.029908	-0.027772	
-1.706550	-0.028687	-0.029298	-0.028993	-0.029298	-0.028382	-0.027467	
-1.693220	-0.027650	-0.027467	-0.028382	-0.028077	-0.027467	-0.026856	
-1.679880	-0.026673	-0.026551	-0.027772	-0.027161	-0.026551	-0.025330	
-1.666550	-0.025513	-0.025941	-0.026246	-0.025635	-0.025635	-0.024110	
-1.653220	-0.024720	-0.025025	-0.024720	-0.025025	-0.025025	-0.023804	
-1.639880	-0.024232	-0.024415	-0.023804	-0.024720	-0.024415	-0.023804	
-1.626550	-0.024110	-0.023804	-0.023804	-0.024720	-0.024110	-0.024110	
-1.613220	-0.023560	-0.023499	-0.023804	-0.024415	-0.023194	-0.022889	
-1.599880	-0.022828	-0.022584	-0.022889	-0.024110	-0.023194	-0.021363	
-1.586550	-0.022340	-0.022584	-0.022279	-0.023194	-0.022584	-0.021058	
-1.573220	-0.021851	-0.021973	-0.021668	-0.022279	-0.021973	-0.021363	
-1.559890	-0.021546	-0.021668	-0.021363	-0.021668	-0.021363	-0.021668	
-1.546550	-0.021241	-0.021363	-0.021363	-0.021363	-0.021058	-0.021058	
-1.533220	-0.020692	-0.020753	-0.020753	-0.021363	-0.020447	-0.020142	
-1.519890	-0.020447	-0.020447	-0.020142	-0.021668	-0.020447	-0.019532	
-1.506550	-0.020203	-0.020142	-0.019837	-0.021363	-0.020142	-0.019532	
-1.493220	-0.020081	-0.019837	-0.019837	-0.021058	-0.019837	-0.019837	
-1.479890	-0.019776	-0.019837	-0.019227	-0.020753	-0.019227	-0.019837	
-1.466550	-0.019471	-0.019532	-0.019227	-0.020447	-0.018922	-0.019227	
-1.453220	-0.019044	-0.018922	-0.018616	-0.020142	-0.018922	-0.018616	
-1.439890	-0.018738	-0.018616	-0.018311	-0.019837	-0.018616	-0.018311	
-1.426550	-0.018616	-0.018616	-0.018311	-0.019837	-0.017701	-0.018616	
-1.413220	-0.018616	-0.018616	-0.018311	-0.019227	-0.018006	-0.018922	
-1.399890	-0.018189	-0.018311	-0.018006	-0.018616	-0.017701	-0.018311	
-1.386550	-0.018006	-0.018006	-0.017701	-0.018922	-0.017701	-0.017701	
-1.373220	-0.017884	-0.018006	-0.017396	-0.018922	-0.017701	-0.017396	
-1.359890	-0.017762	-0.017701	-0.017090	-0.018922	-0.017396	-0.017701	
-1.346560	-0.017579	-0.017396	-0.017090	-0.018311	-0.017090	-0.018006	
-1.333220	-0.017579	-0.017396	-0.017090	-0.018311	-0.017090	-0.018006	
-1.319890	-0.017151	-0.017396	-0.016785	-0.017396	-0.016785	-0.017396	
-1.306560	-0.016968	-0.017396	-0.016785	-0.017396	-0.016785	-0.016480	
-1.293220	-0.016724	-0.017090	-0.016480	-0.017090	-0.016480	-0.016480	
-1.279890	-0.016663	-0.017090	-0.016480	-0.016785	-0.016175	-0.016785	
-1.266560	-0.016541	-0.016480	-0.016175	-0.017090	-0.016175	-0.016785	
-1.253220	-0.016297	-0.016480	-0.016175	-0.016175	-0.016175	-0.016480	
-1.239890	-0.016114	-0.016480	-0.016175	-0.016175	-0.015870	-0.015870	
-1.226560	-0.015870	-0.015870	-0.015870	-0.016480	-0.015870	-0.015259	
-1.213220	-0.015748	-0.015259	-0.015564	-0.016175	-0.015870	-0.015870	
-1.199890	-0.015809	-0.015259	-0.015259	-0.016480	-0.015870	-0.016175	
-1.186560	-0.015503	-0.014954	-0.015259	-0.015870	-0.015259	-0.016175	
-1.173220	-0.015076	-0.014954	-0.014954	-0.015259	-0.014954	-0.015259	
-1.159890	-0.014710	-0.014649	-0.014649	-0.014954	-0.014649	-0.014649	
-1.146560	-0.014588	-0.014344	-0.014649	-0.014344	-0.014649	-0.014954	
-1.133230	-0.014527	-0.014039	-0.014344	-0.014649	-0.014344	-0.015259	
-1.119890	-0.014344	-0.014039	-0.014344	-0.014344	-0.014039	-0.014954	
-1.106560	-0.014161	-0.014039	-0.014039	-0.014039	-0.014039	-0.014649	
-1.093230	-0.013916	-0.013733	-0.014039	-0.014039	-0.013733	-0.014039	
-1.079890	-0.013672	-0.013123	-0.013733	-0.014039	-0.013428	-0.014039	
-1.066560	-0.013550	-0.013123	-0.013733	-0.013428	-0.013428	-0.014039	
-1.053230	-0.013245	-0.012818	-0.013428	-0.012818	-0.013123	-0.014039	
-1.039890	-0.013123	-0.012818	-0.013428	-0.012818	-0.012818	-0.013733	
-1.026560	-0.012818	-0.012818	-0.012818	-0.012818	-0.012513	-0.013123	
-1.013230	-0.012513	-0.012207	-0.012513	-0.012513	-0.012513	-0.012818	
-0.999894	-0.012391	-0.011902	-0.012207	-0.012513	-0.012513	-0.012818	
-0.986561	-0.012085	-0.011902	-0.011902	-0.011902	-0.011902	-0.012818	
-0.973228	-0.011841	-0.011902	-0.011597	-0.011597	-0.011597	-0.012513	
-0.959895	-0.011536	-0.011597	-0.011597	-0.011292	-0.011292	-0.011902	
-0.946562	-0.011170	-0.010987	-0.011292	-0.010987	-0.010987	-0.011597	
-0.933229	-0.010926	-0.010681	-0.010987	-0.010681	-0.010987	-0.011292	
-0.919895	-0.010804	-0.010681	-0.010681	-0.010681	-0.010681	-0.011292	
-0.906562	-0.010559	-0.010376	-0.010376	-0.010376	-0.010376	-0.011292	
-0.893229	-0.010132	-0.010071	-0.010071	-0.010071	-0.009766	-0.010681	
-0.879896	-0.009827	-0.009766	-0.009766	-0.009766	-0.009766	-0.010071	
-0.866563	-0.009583	-0.009156	-0.009766	-0.009461	-0.009766	-0.009766	
-0.853230	-0.009278	-0.008850	-0.009156	-0.009156	-0.009461	-0.009766	
-0.839897	-0.008911	-0.008545	-0.008850	-0.008850	-0.008850	-0.009461	
-0.826564	-0.008484	-0.008545	-0.008240	-0.008240	-0.008545	-0.008850	
-0.813230	-0.008179	-0.008240	-0.008240	-0.007935	-0.008240	-0.008240	
-0.799897	-0.007691	-0.007630	-0.007630	-0.007630	-0.007935	-0.007630	
-0.786564	-0.007385	-0.007324	-0.007324	-0.007324	-0.007630	-0.007324	
-0.773231	-0.007141	-0.007019	-0.007019	-0.007019	-0.007324	-0.007324	
-0.759898	-0.006714	-0.006714	-0.006714	-0.006714	-0.006714	-0.006714	
-0.746565	-0.006226	-0.006409	-0.006104	-0.006409	-0.006104	-0.006104	
-0.733232	-0.005921	-0.006104	-0.005799	-0.005799	-0.006104	-0.005799	
-0.719899	-0.005615	-0.005493	-0.005799	-0.005493	-0.005799	-0.005493	
-0.706566	-0.005371	-0.005188	-0.005493	-0.005188	-0.005493	-0.005493	
-0.693232	-0.005005	-0.005188	-0.004883	-0.004883	-0.005188	-0.004883	
-0.679899	-0.004639	-0.004578	-0.004578	-0.004578	-0.004883	-0.004578	
-0.666566	-0.004517	-0.004578	-0.004578	-0.004578	-0.004578	-0.004273	
-0.653233	-0.004151	-0.003967	-0.004273	-0.004273	-0.004273	-0.003967	
-0.639900	-0.003906	-0.003662	-0.003967	-0.003967	-0.003967	-0.003967	
-0.626567	-0.003601	-0.003357	-0.003662	-0.003662	-0.003662	-0.003662	
-0.613234	-0.003296	-0.003052	-0.003357	-0.003357	-0.003357	-0.003357	
-0.599901	-0.003052	-0.003052	-0.003052	-0.003052	-0.003052	-0.003052	
-0.586567	-0.002686	-0.002441	-0.002747	-0.002747	-0.002747	-0.002747	
-0.573234	-0.002503	-0.002441	-0.002441	-0.002441	-0.002747	-0.002441	
-0.559901	-0.002136	-0.002136	-0.002136	-0.002136	-0.002136	-0.002136	
-0.546568	-0.001892	-0.001831	-0.001831	-0.001831	-0.001831	-0.002136	
-0.533235	-0.001709	-0.001831	-0.001526	-0.001526	-0.001831	-0.001831	
-0.519902	-0.001526	-0.001526	-0.001526	-0.001526	-0.001526	-0.001526	
-0.506569	-0.001221	-0.001221	-0.001221	-0.001221	-0.001221	-0.001221	
-0.493236	-0.000977	-0.000916	-0.000916	-0.000916	-0.001221	-0.000916	
-0.479903	-0.000855	-0.000610	-0.000916	-0.000916	-0.000916	-0.000916	
-0.466569	-0.000610	-0.000610	-0.000610	-0.000610	-0.000610	-0.000610	
-0.453236	-0.000366	-0.000305	-0.000610	-0.000305	-0.000305	-0.000305	
-0.439903	-0.000183	0.000000	-0.000305	-0.000305	-0.000305	0.000000	
-0.426570	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-0.413237	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-0.399904	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-0.386571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-0.373238	0.000305	0.000305	0.000305	0.000305	0.000305	0.000305	
-0.359905	0.000305	0.000305	0.000305	0.000305	0.000305	0.000305	
-0.346571	0.000305	0.000305	0.000305	0.000305	0.000305	0.000305	
-0.333238	0.000549	0.000610	0.000610	0.000610	0.000305	0.000610	
-0.319905	0.000610	0.000610	0.000610	0.000610	0.000610	0.000610	
-0.306572	0.000610	0.000610	0.000610	0.000610	0.000610	0.000610	
-0.293239	0.000610	0.000610	0.000610	0.000610	0.000610	0.000610	
-0.279906	0.000610	0.000610	0.000610	0.000610	0.000610	0.000610	
-0.266573	0.000732	0.000610	0.000610	0.000916	0.000610	0.000916	
-0.253240	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.239906	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.226573	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.213240	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.199907	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.186574	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.173241	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.159908	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.146575	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.133242	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.119908	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.106575	0.000916	0.000916	0.000916	0.000916	0.000916	0.000916	
-0.093242	0.000977	0.000916	0.000916	0.000916	0.001221	0.000916	
-0.079909	0.001099	0.001221	0.000916	0.000916	0.001221	0.001221	
-0.066576	0.001160	0.000916	0.001221	0.001221	0.001221	0.001221	
-0.053243	0.001160	0.001221	0.000916	0.001221	0.001221	0.001221	
