Experiment	bias spectroscopy	
Date	19.01.2016 21:21:42	
User		
X (m)	49.5216E-9	
Y (m)	256.997E-9	
Z (m)	-132.589E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	5E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	MnPc/Pb(111)	
Comment02	dz =00pm	
Comment03	7 Sweeps	
Comment04	MagField =0.T	
Comment05	Divider 1:10	
Comment06	Setpoint:5mV,200 pA	
Comment07	Lockin: 50uVrms,5ms,5mV	
Comment08	Gain:9; 912Hz modulation	
Comment09	T=1.06K	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	81.475E-3	
Bias>Offset (V)	1.046E-3	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	2000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	5E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	7	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	100E-3,3.3E-3,100E-6,10E-3,2500;3.3E-3,-3.3E-3,100E-6,10E-3,10;-3.3E-3,-100E-3,100E-6,10E-3,2500	
Current>Current (A)	200.084E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-455.429E-15	
Current>Gain	LN 10^9	
Z-Controller>Z (m)	-132.589E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	2.96994E-12	
Z-Controller>I gain	67.0321E-9	
Z-Controller>Time const (s)	44.3062E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	
Current (A)	200.226E-12	
Z (m)	-132.589E-9	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Current [bwd] (A)	X% LockIn [bwd] (V)	Y% LockIn [bwd] (V)
5.00000E-3	199.042E-12	593.517E-3	-21.5764E-3	202.575E-12	584.732E-3	-23.0053E-3
4.99500E-3	199.119E-12	569.236E-3	17.3914E-3	202.217E-12	597.988E-3	5.48472E-3
4.98999E-3	198.922E-12	587.529E-3	27.1398E-3	199.662E-12	626.201E-3	19.2958E-3
4.98499E-3	199.859E-12	610.681E-3	4.93175E-3	198.562E-12	637.584E-3	2.50131E-3
4.97999E-3	200.474E-12	608.614E-3	-12.2840E-3	199.313E-12	641.871E-3	-28.6323E-3
4.97499E-3	200.732E-12	618.003E-3	-14.2898E-3	199.526E-12	661.926E-3	-48.1065E-3
4.96998E-3	200.678E-12	643.187E-3	-24.7753E-3	197.532E-12	654.867E-3	-42.9153E-3
4.96498E-3	200.865E-12	650.054E-3	-34.3315E-3	196.512E-12	616.036E-3	-27.6695E-3
4.95998E-3	200.299E-12	642.445E-3	-15.6557E-3	197.701E-12	599.817E-3	-11.9649E-3
4.95498E-3	199.051E-12	648.174E-3	-2.82686E-3	198.434E-12	613.413E-3	4.29881E-3
4.94997E-3	197.587E-12	644.673E-3	-5.56090E-3	198.095E-12	624.831E-3	7.74562E-3
4.94497E-3	197.007E-12	626.406E-3	-6.93139E-3	197.167E-12	624.884E-3	-6.36389E-3
4.93997E-3	196.392E-12	621.750E-3	-23.7880E-3	197.709E-12	634.707E-3	-23.4424E-3
4.93497E-3	195.993E-12	642.456E-3	-53.1763E-3	197.330E-12	645.879E-3	-27.7332E-3
4.92996E-3	195.405E-12	648.850E-3	-52.3350E-3	197.522E-12	646.033E-3	-20.5799E-3
4.92496E-3	195.469E-12	635.113E-3	-18.5271E-3	198.099E-12	647.499E-3	-3.49036E-3
4.91996E-3	195.106E-12	643.077E-3	-10.3138E-3	197.206E-12	646.000E-3	-14.7909E-3
4.91496E-3	195.605E-12	664.026E-3	-23.4936E-3	196.351E-12	638.270E-3	-53.8530E-3
4.90995E-3	196.210E-12	667.549E-3	-13.6549E-3	196.122E-12	628.489E-3	-64.3247E-3
4.90495E-3	195.515E-12	646.222E-3	-11.0479E-3	196.952E-12	621.994E-3	-29.1230E-3
4.89995E-3	195.606E-12	622.205E-3	-27.7434E-3	195.803E-12	619.369E-3	6.74772E-3
4.89495E-3	196.931E-12	621.693E-3	-31.4014E-3	194.518E-12	626.190E-3	-2.15268E-3
4.88995E-3	198.268E-12	627.560E-3	-21.1519E-3	194.098E-12	636.319E-3	-8.68060E-3
4.88494E-3	198.473E-12	627.927E-3	-8.37286E-3	194.649E-12	630.119E-3	-4.11070E-3
4.87994E-3	198.648E-12	636.937E-3	-17.5619E-3	193.175E-12	610.836E-3	-21.3822E-3
4.87494E-3	198.669E-12	657.988E-3	-37.6043E-3	192.866E-12	608.063E-3	-39.0992E-3
4.86993E-3	199.208E-12	687.346E-3	-44.9878E-3	194.009E-12	634.221E-3	-39.0757E-3
4.86493E-3	199.106E-12	681.684E-3	-25.2538E-3	195.279E-12	651.136E-3	-36.3831E-3
4.85993E-3	198.121E-12	640.233E-3	-10.3364E-3	195.512E-12	641.452E-3	-50.8246E-3
4.85493E-3	196.875E-12	629.334E-3	-18.1848E-3	195.490E-12	646.315E-3	-65.8691E-3
4.84992E-3	196.245E-12	647.781E-3	-2.55208E-3	196.323E-12	654.696E-3	-42.7856E-3
4.84492E-3	195.258E-12	666.577E-3	4.01827E-3	197.265E-12	642.957E-3	1.28107E-3
4.83992E-3	194.685E-12	676.575E-3	-21.3363E-3	197.443E-12	648.029E-3	427.918E-6
4.83492E-3	194.005E-12	659.423E-3	-29.1174E-3	197.602E-12	648.995E-3	-12.0132E-3
4.82991E-3	193.598E-12	637.087E-3	-26.3899E-3	196.996E-12	631.246E-3	437.421E-6
4.82491E-3	192.540E-12	624.919E-3	-27.5347E-3	196.884E-12	625.451E-3	-5.82549E-3
4.81991E-3	192.463E-12	617.498E-3	-6.31134E-3	196.474E-12	614.873E-3	-23.7162E-3
4.81491E-3	192.780E-12	606.816E-3	-1.18644E-3	195.250E-12	592.461E-3	-13.0649E-3
4.80990E-3	191.859E-12	611.913E-3	-33.7744E-3	194.085E-12	589.776E-3	18.4229E-3
4.80490E-3	191.933E-12	644.135E-3	-59.6504E-3	193.758E-12	629.805E-3	14.0970E-3
4.79990E-3	193.036E-12	655.119E-3	-54.4438E-3	193.073E-12	669.635E-3	-23.6737E-3
4.79490E-3	192.827E-12	647.319E-3	-39.5053E-3	191.404E-12	664.260E-3	-38.8098E-3
4.78989E-3	191.890E-12	629.245E-3	-31.8827E-3	190.997E-12	650.935E-3	-41.4773E-3
4.78489E-3	191.744E-12	615.160E-3	-20.2552E-3	190.051E-12	656.682E-3	-24.3484E-3
4.77989E-3	191.401E-12	617.743E-3	-31.3409E-3	189.459E-12	664.408E-3	2.95285E-3
4.77489E-3	191.672E-12	621.782E-3	-65.2457E-3	188.917E-12	659.415E-3	-13.1458E-3
4.76988E-3	190.961E-12	640.216E-3	-68.6527E-3	189.298E-12	654.951E-3	-45.2887E-3
4.76488E-3	189.978E-12	660.022E-3	-27.3228E-3	190.171E-12	662.316E-3	-68.8231E-3
4.75988E-3	188.233E-12	649.743E-3	-16.1741E-3	190.177E-12	663.746E-3	-76.4202E-3
4.75488E-3	188.042E-12	611.593E-3	-35.3029E-3	190.513E-12	663.301E-3	-53.8372E-3
4.74988E-3	187.544E-12	595.132E-3	-38.2815E-3	190.401E-12	668.149E-3	-26.6538E-3
4.74487E-3	187.220E-12	605.245E-3	-55.3599E-3	191.599E-12	658.384E-3	-20.9446E-3
4.73987E-3	186.012E-12	620.338E-3	-46.2840E-3	191.711E-12	640.638E-3	-10.7868E-3
4.73487E-3	185.954E-12	625.255E-3	-4.34574E-3	191.771E-12	652.872E-3	-17.4881E-3
4.72986E-3	185.703E-12	613.447E-3	16.9810E-3	190.435E-12	662.829E-3	-34.5692E-3
4.72486E-3	185.828E-12	606.748E-3	14.8115E-3	190.036E-12	636.033E-3	-10.9467E-3
4.71986E-3	185.826E-12	603.516E-3	-23.1813E-3	189.516E-12	635.746E-3	5.48018E-3
4.71486E-3	186.083E-12	604.977E-3	-48.6380E-3	188.564E-12	644.221E-3	4.99674E-3
4.70985E-3	186.215E-12	617.823E-3	-35.2783E-3	187.441E-12	632.521E-3	21.8946E-3
4.70485E-3	186.238E-12	635.536E-3	-41.2297E-3	186.148E-12	644.194E-3	29.3665E-3
4.69985E-3	186.514E-12	659.339E-3	-38.4463E-3	186.731E-12	645.327E-3	12.3535E-3
4.69485E-3	186.574E-12	668.587E-3	-20.5977E-3	186.287E-12	610.258E-3	-12.0338E-3
4.68984E-3	186.474E-12	666.820E-3	-20.0268E-3	186.630E-12	590.953E-3	-21.4117E-3
4.68484E-3	186.219E-12	676.564E-3	-24.0748E-3	185.309E-12	608.207E-3	-12.7828E-3
4.67984E-3	186.302E-12	673.440E-3	-29.8154E-3	185.858E-12	623.926E-3	12.2219E-3
4.67484E-3	185.529E-12	646.689E-3	-44.7823E-3	186.277E-12	627.912E-3	24.1288E-3
4.66983E-3	184.349E-12	604.354E-3	-57.5822E-3	186.245E-12	636.984E-3	6.91151E-3
4.66483E-3	184.719E-12	580.756E-3	-48.3492E-3	185.676E-12	646.532E-3	-2.98678E-3
4.65983E-3	183.839E-12	597.534E-3	-39.5488E-3	185.111E-12	658.555E-3	-3.71094E-3
4.65483E-3	183.704E-12	615.951E-3	-53.4946E-3	186.054E-12	664.867E-3	-19.8046E-3
4.64982E-3	184.085E-12	619.477E-3	-51.7493E-3	186.421E-12	652.789E-3	-39.1846E-3
4.64482E-3	184.241E-12	621.567E-3	-24.2095E-3	186.046E-12	643.571E-3	-50.0400E-3
4.63982E-3	184.256E-12	624.554E-3	-14.3540E-3	185.524E-12	638.617E-3	-60.7587E-3
4.63482E-3	184.641E-12	622.088E-3	-14.5065E-3	185.961E-12	620.034E-3	-53.0454E-3
4.62981E-3	185.090E-12	628.036E-3	-11.5406E-3	187.080E-12	625.489E-3	-31.5024E-3
4.62481E-3	185.735E-12	643.987E-3	-14.3485E-3	186.816E-12	653.175E-3	-33.6626E-3
4.61981E-3	185.877E-12	648.983E-3	-22.7544E-3	184.602E-12	640.800E-3	-44.3702E-3
4.61481E-3	186.427E-12	644.355E-3	-33.8579E-3	184.705E-12	630.602E-3	-28.4887E-3
4.60980E-3	186.509E-12	638.139E-3	-18.0161E-3	186.159E-12	656.623E-3	-20.5954E-3
4.60480E-3	187.848E-12	628.008E-3	10.5540E-3	185.917E-12	666.165E-3	-27.6341E-3
4.59980E-3	187.835E-12	616.092E-3	-10.0785E-3	183.854E-12	664.387E-3	-15.3934E-3
4.59480E-3	186.791E-12	623.687E-3	-43.4819E-3	184.318E-12	660.479E-3	-3.28679E-3
4.58979E-3	186.419E-12	645.333E-3	-34.0989E-3	183.814E-12	642.964E-3	-4.37204E-3
4.58479E-3	186.365E-12	659.323E-3	-14.6064E-3	183.574E-12	632.919E-3	-6.79967E-3
