Experiment	bias spectroscopy	
Date	19.01.2016 17:58:41	
User		
X (m)	50.0125E-9	
Y (m)	256.824E-9	
Z (m)	-132.525E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	5E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	MnPc/Pb(111)	
Comment02	dz =00pm	
Comment03	7 Sweeps	
Comment04	MagField =0.T	
Comment05	Divider 1:10	
Comment06	Setpoint:5mV,200 pA	
Comment07	Lockin: 50uVrms,5ms,5mV	
Comment08	Gain:9; 912Hz modulation	
Comment09	T=1.06K	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	81.475E-3	
Bias>Offset (V)	1.046E-3	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	2000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	5E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	7	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	100E-3,3.3E-3,100E-6,10E-3,2500;3.3E-3,-3.3E-3,100E-6,10E-3,10;-3.3E-3,-100E-3,100E-6,10E-3,2500	
Current>Current (A)	200.036E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-455.429E-15	
Current>Gain	LN 10^9	
Z-Controller>Z (m)	-132.525E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	2.96994E-12	
Z-Controller>I gain	67.0321E-9	
Z-Controller>Time const (s)	44.3062E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Current [bwd] (A)	X% LockIn [bwd] (V)	Y% LockIn [bwd] (V)
5.00000E-3	191.358E-12	478.428E-3	-45.1181E-3	192.084E-12	452.937E-3	20.6359E-3
4.99500E-3	193.779E-12	490.698E-3	-30.3029E-3	192.210E-12	456.716E-3	8.77502E-3
4.98999E-3	196.187E-12	491.817E-3	-22.9847E-3	192.324E-12	459.872E-3	-16.1614E-3
4.98499E-3	198.199E-12	483.196E-3	-11.8171E-3	191.940E-12	460.788E-3	-33.3363E-3
4.97999E-3	199.134E-12	477.080E-3	-12.2451E-3	192.294E-12	469.559E-3	-19.4772E-3
4.97499E-3	202.166E-12	476.823E-3	-28.5261E-3	193.782E-12	498.044E-3	5.68794E-3
4.96998E-3	205.170E-12	486.743E-3	-22.1097E-3	197.240E-12	518.785E-3	17.9226E-3
4.96498E-3	206.820E-12	504.388E-3	-30.7862E-3	198.516E-12	494.832E-3	17.5064E-3
4.95998E-3	206.768E-12	531.490E-3	-56.6351E-3	200.852E-12	480.534E-3	5.54075E-3
4.95498E-3	207.439E-12	541.700E-3	-46.0051E-3	202.469E-12	488.028E-3	-5.32704E-3
4.94997E-3	209.641E-12	506.639E-3	-13.0043E-3	204.183E-12	473.062E-3	-14.9634E-3
4.94497E-3	207.442E-12	478.656E-3	6.80433E-3	205.280E-12	480.621E-3	-26.8447E-3
4.93997E-3	204.744E-12	498.440E-3	15.5598E-3	204.421E-12	532.944E-3	-40.9347E-3
4.93497E-3	202.327E-12	534.823E-3	3.49829E-3	203.311E-12	543.101E-3	-45.4767E-3
4.92996E-3	202.153E-12	546.418E-3	-14.4035E-3	202.101E-12	511.902E-3	-26.8883E-3
4.92496E-3	199.796E-12	538.763E-3	-19.1300E-3	201.246E-12	504.891E-3	-27.3767E-3
4.91996E-3	196.886E-12	513.576E-3	-43.2333E-3	199.717E-12	497.890E-3	-25.7989E-3
4.91496E-3	193.349E-12	478.513E-3	-66.1426E-3	197.029E-12	473.044E-3	-10.0967E-3
4.90995E-3	193.238E-12	466.748E-3	-46.0726E-3	195.951E-12	459.838E-3	-11.6871E-3
4.90495E-3	193.403E-12	473.107E-3	-26.6804E-3	195.066E-12	461.467E-3	-5.15261E-3
4.89995E-3	192.771E-12	478.444E-3	-40.8697E-3	193.276E-12	473.347E-3	-9.70094E-3
4.89495E-3	190.437E-12	485.139E-3	-31.6049E-3	190.463E-12	507.437E-3	-36.9078E-3
4.88995E-3	190.892E-12	496.187E-3	446.786E-6	190.002E-12	524.968E-3	-57.5116E-3
4.88494E-3	192.694E-12	502.153E-3	2.17557E-3	190.784E-12	514.200E-3	-53.2778E-3
4.87994E-3	194.620E-12	503.366E-3	-18.3434E-3	191.667E-12	507.171E-3	-20.8715E-3
4.87494E-3	194.691E-12	501.407E-3	-16.3587E-3	191.817E-12	489.286E-3	-9.98113E-3
4.86993E-3	194.137E-12	496.354E-3	205.253E-6	191.943E-12	475.026E-3	-30.3287E-3
4.86493E-3	195.939E-12	484.804E-3	-1.12162E-3	193.858E-12	499.351E-3	-44.2113E-3
4.85993E-3	198.893E-12	490.632E-3	-14.4803E-3	196.826E-12	514.099E-3	-60.9664E-3
4.85493E-3	200.880E-12	517.600E-3	-30.0422E-3	198.620E-12	505.872E-3	-53.3151E-3
4.84992E-3	200.295E-12	536.684E-3	-29.2665E-3	199.437E-12	515.373E-3	-35.0949E-3
4.84492E-3	199.123E-12	506.730E-3	-3.98123E-3	199.213E-12	530.080E-3	-40.0362E-3
4.83992E-3	200.152E-12	478.415E-3	7.48166E-3	201.266E-12	528.224E-3	-46.4911E-3
4.83492E-3	198.705E-12	503.643E-3	-19.2141E-3	201.978E-12	505.848E-3	-70.2986E-3
4.82991E-3	196.158E-12	513.929E-3	-29.6932E-3	202.581E-12	466.843E-3	-77.2255E-3
4.82491E-3	193.183E-12	513.815E-3	-15.0013E-3	200.567E-12	464.511E-3	-42.7468E-3
4.81991E-3	190.889E-12	523.869E-3	-10.4608E-3	199.180E-12	500.486E-3	-7.62900E-3
4.81491E-3	190.066E-12	514.562E-3	-8.99636E-3	199.206E-12	507.021E-3	6.49254E-3
4.80990E-3	189.142E-12	485.850E-3	-10.1914E-3	198.231E-12	503.644E-3	6.58332E-3
4.80490E-3	187.529E-12	485.329E-3	-10.9369E-3	196.056E-12	517.942E-3	4.25144E-3
4.79990E-3	185.559E-12	491.330E-3	-10.7861E-3	193.899E-12	524.199E-3	-10.6408E-3
4.79490E-3	186.500E-12	471.347E-3	-23.8291E-3	192.452E-12	507.608E-3	-43.7394E-3
4.78989E-3	187.629E-12	486.693E-3	-26.9058E-3	191.932E-12	478.879E-3	-69.0655E-3
4.78489E-3	187.516E-12	525.991E-3	-20.4780E-3	189.471E-12	464.710E-3	-63.5133E-3
4.77989E-3	186.449E-12	526.237E-3	-53.8763E-3	187.372E-12	482.847E-3	-54.5337E-3
4.77489E-3	187.928E-12	515.556E-3	-90.9569E-3	188.903E-12	501.033E-3	-53.3823E-3
4.76988E-3	191.694E-12	507.279E-3	-64.4871E-3	189.737E-12	516.400E-3	-37.0309E-3
4.76488E-3	194.267E-12	489.384E-3	-1.22314E-3	188.961E-12	540.340E-3	-39.6398E-3
4.75988E-3	195.222E-12	469.542E-3	26.5908E-3	190.678E-12	538.761E-3	-41.4377E-3
4.75488E-3	196.552E-12	475.411E-3	18.3269E-3	192.841E-12	536.324E-3	-5.43798E-3
4.74988E-3	198.270E-12	508.480E-3	-23.3299E-3	195.035E-12	538.598E-3	2.12767E-3
4.74487E-3	200.255E-12	516.753E-3	-61.5995E-3	195.068E-12	522.368E-3	-13.8591E-3
4.73987E-3	200.403E-12	512.586E-3	-38.1316E-3	195.074E-12	527.514E-3	-14.2469E-3
4.73487E-3	199.100E-12	511.796E-3	-29.6388E-3	196.854E-12	535.704E-3	-23.0910E-3
4.72986E-3	197.224E-12	523.149E-3	-54.0987E-3	199.998E-12	531.691E-3	-30.8855E-3
4.72486E-3	195.680E-12	532.750E-3	-49.3237E-3	199.912E-12	549.928E-3	-37.0204E-3
4.71986E-3	195.525E-12	522.035E-3	-15.2093E-3	197.651E-12	545.702E-3	-40.1375E-3
4.71486E-3	194.837E-12	527.348E-3	14.3045E-3	197.433E-12	512.198E-3	-16.1224E-3
4.70985E-3	192.938E-12	523.825E-3	15.0488E-3	197.403E-12	486.183E-3	10.0853E-3
4.70485E-3	190.388E-12	493.129E-3	-14.5556E-3	196.488E-12	473.987E-3	3.31022E-3
4.69985E-3	190.833E-12	479.272E-3	-67.7686E-3	191.850E-12	468.167E-3	-14.2004E-3
4.69485E-3	190.194E-12	484.425E-3	-94.0052E-3	188.369E-12	476.653E-3	-23.8725E-3
4.68984E-3	188.814E-12	477.424E-3	-52.1695E-3	185.757E-12	499.210E-3	-40.2806E-3
4.68484E-3	187.026E-12	474.307E-3	-5.91943E-3	184.550E-12	505.661E-3	-38.8434E-3
4.67984E-3	188.424E-12	497.309E-3	-336.426E-6	182.388E-12	503.005E-3	878.812E-6
4.67484E-3	189.288E-12	526.424E-3	-1.90056E-3	180.037E-12	496.132E-3	27.4211E-3
4.66983E-3	188.861E-12	535.280E-3	11.1466E-3	179.616E-12	487.666E-3	20.7830E-3
4.66483E-3	187.606E-12	536.105E-3	24.1602E-3	180.420E-12	494.509E-3	-8.63973E-3
4.65983E-3	189.695E-12	539.130E-3	30.2390E-3	182.553E-12	507.470E-3	-43.4423E-3
4.65483E-3	191.862E-12	539.092E-3	29.3007E-3	182.912E-12	546.337E-3	-38.1755E-3
4.64982E-3	192.883E-12	526.289E-3	16.8669E-3	185.605E-12	590.286E-3	-20.3433E-3
4.64482E-3	194.175E-12	509.632E-3	17.2956E-3	188.415E-12	578.972E-3	-10.9667E-3
4.63982E-3	194.058E-12	512.152E-3	9.28196E-3	191.364E-12	535.165E-3	-6.82494E-3
4.63482E-3	194.689E-12	517.525E-3	-23.2961E-3	192.830E-12	516.546E-3	-29.1843E-3
4.62981E-3	194.976E-12	515.359E-3	-49.1583E-3	192.004E-12	531.337E-3	-45.5137E-3
4.62481E-3	195.042E-12	498.027E-3	-58.6126E-3	192.962E-12	542.877E-3	-30.4060E-3
4.61981E-3	192.947E-12	482.961E-3	-36.1592E-3	194.811E-12	538.422E-3	-19.0174E-3
