Experiment	bias spectroscopy	
Date	03.09.2013 13:00:07	
User		
X (m)	-232.308E-9	
Y (m)	42.1667E-9	
Z (m)	-41.2798E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	10E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-41.2781E-9	
Filter type	None	
Order		
Cutoff frq		
Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	0.004,0.003,2E-4,2.5E-2,200;0.003,0.0012,2E-4,5E-2,900;0.0012,-0.0012,2E-4,2.5E-2,200;-0.0012,-0.003,2E-4,5E-2,900;-0.003,-0.004,2E-4,2.5E-2,200	
Comment01	Pb(100) good resolution again	
Comment02	TimeConst = 50 ms	
Comment03	Gain           = 9	
Comment04	BiasSetpoint =250pA,5mV	
Comment05	Z-offset    = 0pm	
Comment06	Vrms         =10mVrms	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	5.21E-3	
Bias>Offset (V)	-115E-6	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	5000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	10E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V);Z (m)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	TRUE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	MLS	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	4E-3,3E-3,200E-6,25E-3,200;3E-3,1.2E-3,200E-6,50E-3,900;1.2E-3,-1.2E-3,200E-6,25E-3,200;-1.2E-3,-3E-3,200E-6,50E-3,900;-3E-3,-4E-3,200E-6,25E-3,200	
Current>Current (A)	200.453E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-700.44E-15	
Current>Gain	LN 10^9	
Piezo Calibration>Active Calib.	4.8K_JT-X,Y,Z_2011-06-08	
Piezo Calibration>Calib. X (m/V)	14.092E-9	
Piezo Calibration>Calib. Y (m/V)	14.092E-9	
Piezo Calibration>Calib. Z (m/V)	1.922E-9	
Piezo Calibration>HV Gain X	4	
Piezo Calibration>HV Gain Y	4	
Piezo Calibration>HV Gain Z	4	
Piezo Calibration>Tilt X (deg)	0.55	
Piezo Calibration>Tilt Y (deg)	0.76	
Piezo Calibration>Curvature radius X (m)	Inf	
Piezo Calibration>Curvature radius Y (m)	Inf	
Piezo Calibration>2nd order corr X (V/m^2)	0E+0	
Piezo Calibration>2nd order corr Y (V/m^2)	0E+0	
Piezo Calibration>Drift X (m/s)	0E+0	
Piezo Calibration>Drift Y (m/s)	0E+0	
Piezo Calibration>Drift Z (m/s)	0E+0	
Piezo Calibration>Drift correction status (on/off)	FALSE	
Z-Controller>Z (m)	-41.2797E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	3.73264E-12	
Z-Controller>I gain	72.238E-9	
Z-Controller>Time const (s)	51.6714E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Z (m)
4.00000E-3	139.407E-12	71.0091E-3	-1.09873E-3	-41.2798E-9
3.99498E-3	157.231E-12	68.7293E-3	-1.69794E-3	-41.2798E-9
3.98995E-3	162.497E-12	66.7910E-3	-1.30510E-3	-41.2798E-9
3.98492E-3	155.892E-12	65.2154E-3	-1.10532E-3	-41.2798E-9
3.97990E-3	151.496E-12	65.1781E-3	-744.446E-6	-41.2798E-9
3.97487E-3	155.088E-12	66.4054E-3	-809.192E-6	-41.2798E-9
3.96985E-3	155.208E-12	67.6679E-3	-888.782E-6	-41.2798E-9
3.96482E-3	158.302E-12	69.3053E-3	-486.060E-6	-41.2798E-9
3.95980E-3	153.531E-12	70.4869E-3	337.732E-6	-41.2798E-9
3.95477E-3	150.361E-12	70.8125E-3	1.32607E-3	-41.2798E-9
3.94975E-3	155.175E-12	71.7088E-3	2.01625E-3	-41.2798E-9
3.94472E-3	166.271E-12	72.3784E-3	2.94338E-3	-41.2798E-9
3.93970E-3	158.817E-12	73.3880E-3	3.87787E-3	-41.2798E-9
3.93467E-3	143.813E-12	75.3824E-3	3.84718E-3	-41.2798E-9
3.92965E-3	137.739E-12	76.6820E-3	3.69863E-3	-41.2798E-9
3.92462E-3	144.946E-12	77.6148E-3	2.79459E-3	-41.2798E-9
3.91960E-3	151.005E-12	76.9057E-3	1.06285E-3	-41.2798E-9
3.91457E-3	146.629E-12	75.0109E-3	92.6636E-6	-41.2798E-9
3.90955E-3	136.938E-12	72.7171E-3	-881.738E-6	-41.2798E-9
3.90452E-3	140.169E-12	70.6638E-3	-1.62002E-3	-41.2798E-9
3.89950E-3	158.571E-12	69.0161E-3	-2.19181E-3	-41.2798E-9
3.89447E-3	161.852E-12	68.5070E-3	-2.60996E-3	-41.2798E-9
3.88945E-3	140.287E-12	69.2464E-3	-2.76298E-3	-41.2798E-9
3.88442E-3	127.769E-12	70.5028E-3	-2.50432E-3	-41.2798E-9
3.87940E-3	139.241E-12	71.6846E-3	-1.85204E-3	-41.2798E-9
3.87437E-3	159.837E-12	71.6263E-3	-712.451E-6	-41.2798E-9
3.86935E-3	164.627E-12	70.0788E-3	21.0205E-6	-41.2798E-9
3.86432E-3	151.064E-12	68.8181E-3	-116.052E-6	-41.2798E-9
3.85930E-3	139.642E-12	68.7673E-3	-1.44147E-3	-41.2798E-9
3.85427E-3	152.843E-12	69.4018E-3	-3.27101E-3	-41.2798E-9
3.84925E-3	170.750E-12	71.6029E-3	-5.20936E-3	-41.2798E-9
3.84422E-3	156.379E-12	73.6864E-3	-6.61318E-3	-41.2798E-9
3.83920E-3	131.614E-12	75.7196E-3	-7.82011E-3	-41.2798E-9
3.83417E-3	134.253E-12	77.4565E-3	-8.82211E-3	-41.2798E-9
3.82915E-3	148.995E-12	77.2807E-3	-8.91835E-3	-41.2798E-9
3.82412E-3	146.632E-12	74.9997E-3	-7.74252E-3	-41.2798E-9
3.81910E-3	134.827E-12	72.2916E-3	-4.62225E-3	-41.2798E-9
3.81407E-3	135.506E-12	69.8747E-3	-1.70026E-3	-41.2798E-9
3.80905E-3	141.900E-12	68.3758E-3	381.165E-6	-41.2798E-9
3.80402E-3	148.293E-12	67.9964E-3	834.399E-6	-41.2798E-9
3.79900E-3	145.742E-12	66.9110E-3	-436.340E-6	-41.2798E-9
3.79397E-3	137.461E-12	66.6214E-3	-2.11237E-3	-41.2798E-9
3.78894E-3	137.551E-12	67.0673E-3	-3.18385E-3	-41.2798E-9
3.78392E-3	152.575E-12	68.2317E-3	-4.02211E-3	-41.2798E-9
3.77889E-3	157.074E-12	70.1913E-3	-4.51996E-3	-41.2798E-9
3.77387E-3	144.683E-12	70.7781E-3	-4.64469E-3	-41.2798E-9
3.76884E-3	135.907E-12	70.5102E-3	-5.07203E-3	-41.2798E-9
3.76382E-3	141.199E-12	70.0757E-3	-5.05299E-3	-41.2798E-9
3.75879E-3	150.539E-12	68.6254E-3	-4.28253E-3	-41.2798E-9
3.75377E-3	146.151E-12	67.4576E-3	-4.04249E-3	-41.2798E-9
3.74874E-3	130.658E-12	66.5804E-3	-4.01780E-3	-41.2798E-9
3.74372E-3	127.146E-12	65.9466E-3	-3.95426E-3	-41.2798E-9
3.73869E-3	139.133E-12	66.0452E-3	-4.76749E-3	-41.2798E-9
3.73367E-3	147.264E-12	65.9392E-3	-5.07935E-3	-41.2798E-9
3.72864E-3	137.732E-12	65.3085E-3	-5.35111E-3	-41.2798E-9
3.72362E-3	129.678E-12	64.5382E-3	-5.46298E-3	-41.2798E-9
3.71859E-3	137.609E-12	63.4837E-3	-5.74746E-3	-41.2798E-9
3.71357E-3	148.648E-12	63.0884E-3	-5.85063E-3	-41.2798E-9
