Experiment	bias spectroscopy	
Date	03.09.2013 09:54:22	
User		
X (m)	-337.879E-9	
Y (m)	-5.2952E-9	
Z (m)	-40.5077E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	10E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-40.5068E-9	
Filter type	None	
Order		
Cutoff frq		
Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	0.004,0.003,2E-4,2.5E-2,200;0.003,0.0012,2E-4,5E-2,900;0.0012,-0.0012,2E-4,2.5E-2,200;-0.0012,-0.003,2E-4,5E-2,900;-0.003,-0.004,2E-4,2.5E-2,200	
Comment01	Pb(100) good resolution again	
Comment02	TimeConst = 50 ms	
Comment03	Gain           = 9	
Comment04	BiasSetpoint =250pA,5mV	
Comment05	Z-offset    = 0pm	
Comment06	Vrms         =10mVrms	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	5.21E-3	
Bias>Offset (V)	-115E-6	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	5000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	10E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V);Z (m)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	TRUE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	MLS	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	4E-3,3E-3,200E-6,25E-3,200;3E-3,1.2E-3,200E-6,50E-3,900;1.2E-3,-1.2E-3,200E-6,25E-3,200;-1.2E-3,-3E-3,200E-6,50E-3,900;-3E-3,-4E-3,200E-6,25E-3,200	
Current>Current (A)	200.23E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-700.44E-15	
Current>Gain	LN 10^9	
Piezo Calibration>Active Calib.	4.8K_JT-X,Y,Z_2011-06-08	
Piezo Calibration>Calib. X (m/V)	14.092E-9	
Piezo Calibration>Calib. Y (m/V)	14.092E-9	
Piezo Calibration>Calib. Z (m/V)	1.922E-9	
Piezo Calibration>HV Gain X	4	
Piezo Calibration>HV Gain Y	4	
Piezo Calibration>HV Gain Z	4	
Piezo Calibration>Tilt X (deg)	0.55	
Piezo Calibration>Tilt Y (deg)	0.76	
Piezo Calibration>Curvature radius X (m)	Inf	
Piezo Calibration>Curvature radius Y (m)	Inf	
Piezo Calibration>2nd order corr X (V/m^2)	0E+0	
Piezo Calibration>2nd order corr Y (V/m^2)	0E+0	
Piezo Calibration>Drift X (m/s)	0E+0	
Piezo Calibration>Drift Y (m/s)	0E+0	
Piezo Calibration>Drift Z (m/s)	0E+0	
Piezo Calibration>Drift correction status (on/off)	FALSE	
Z-Controller>Z (m)	-40.5064E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	3.73264E-12	
Z-Controller>I gain	75.0866E-9	
Z-Controller>Time const (s)	49.7111E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Z (m)
4.00000E-3	150.711E-12	69.8307E-3	-2.38516E-3	-40.5077E-9
3.99498E-3	155.891E-12	71.4125E-3	-2.93706E-3	-40.5077E-9
3.98995E-3	152.666E-12	71.0602E-3	-3.72185E-3	-40.5077E-9
3.98492E-3	147.409E-12	70.2878E-3	-3.72350E-3	-40.5077E-9
3.97990E-3	150.968E-12	69.2193E-3	-3.37529E-3	-40.5077E-9
3.97487E-3	154.706E-12	68.3427E-3	-3.14054E-3	-40.5077E-9
3.96985E-3	151.534E-12	69.0072E-3	-3.16458E-3	-40.5077E-9
3.96482E-3	148.841E-12	68.7460E-3	-4.35514E-3	-40.5077E-9
3.95980E-3	155.677E-12	68.9408E-3	-4.98411E-3	-40.5077E-9
3.95477E-3	153.009E-12	68.6274E-3	-5.23051E-3	-40.5077E-9
3.94975E-3	144.160E-12	67.4834E-3	-4.22004E-3	-40.5077E-9
3.94472E-3	143.804E-12	66.5676E-3	-2.58831E-3	-40.5077E-9
3.93970E-3	150.439E-12	64.5809E-3	-1.00452E-3	-40.5077E-9
3.93467E-3	155.390E-12	62.4971E-3	601.807E-6	-40.5077E-9
3.92965E-3	150.154E-12	61.4428E-3	1.16644E-3	-40.5077E-9
3.92462E-3	147.553E-12	61.9982E-3	468.518E-6	-40.5077E-9
3.91960E-3	146.524E-12	64.0912E-3	-813.733E-6	-40.5077E-9
3.91457E-3	144.981E-12	66.9709E-3	-2.69366E-3	-40.5077E-9
3.90955E-3	145.462E-12	69.4109E-3	-4.36382E-3	-40.5077E-9
3.90452E-3	147.513E-12	69.7822E-3	-5.04792E-3	-40.5077E-9
3.89950E-3	149.049E-12	68.7995E-3	-5.29700E-3	-40.5077E-9
3.89447E-3	148.809E-12	67.4317E-3	-5.40012E-3	-40.5077E-9
3.88945E-3	150.218E-12	66.4961E-3	-4.76736E-3	-40.5077E-9
3.88442E-3	153.377E-12	67.0124E-3	-4.65408E-3	-40.5077E-9
3.87940E-3	144.441E-12	68.8278E-3	-4.30895E-3	-40.5077E-9
3.87437E-3	143.448E-12	71.0170E-3	-4.33484E-3	-40.5077E-9
3.86935E-3	154.311E-12	72.2812E-3	-5.22709E-3	-40.5077E-9
3.86432E-3	153.665E-12	73.2776E-3	-5.63043E-3	-40.5077E-9
3.85930E-3	141.548E-12	72.9702E-3	-5.77316E-3	-40.5077E-9
3.85427E-3	136.782E-12	72.6922E-3	-5.05535E-3	-40.5077E-9
3.84925E-3	144.098E-12	72.8575E-3	-4.18008E-3	-40.5077E-9
3.84422E-3	152.118E-12	72.9402E-3	-3.48184E-3	-40.5077E-9
3.83920E-3	147.749E-12	72.6925E-3	-3.98008E-3	-40.5077E-9
3.83417E-3	138.713E-12	72.4821E-3	-4.59324E-3	-40.5077E-9
3.82915E-3	137.643E-12	71.9053E-3	-4.43196E-3	-40.5077E-9
3.82412E-3	147.105E-12	70.0409E-3	-3.20469E-3	-40.5077E-9
3.81910E-3	151.607E-12	68.7955E-3	-1.57456E-3	-40.5077E-9
3.81407E-3	136.958E-12	67.3045E-3	-237.512E-6	-40.5077E-9
3.80905E-3	132.569E-12	66.6637E-3	-129.285E-6	-40.5077E-9
3.80402E-3	147.554E-12	66.8626E-3	-1.19807E-3	-40.5077E-9
3.79900E-3	160.652E-12	67.4653E-3	-2.37162E-3	-40.5077E-9
3.79397E-3	149.886E-12	67.7226E-3	-3.83905E-3	-40.5077E-9
3.78894E-3	136.054E-12	68.4008E-3	-4.82128E-3	-40.5077E-9
3.78392E-3	137.064E-12	69.8759E-3	-5.80247E-3	-40.5077E-9
3.77889E-3	143.953E-12	71.1270E-3	-5.91663E-3	-40.5077E-9
3.77387E-3	148.442E-12	72.8895E-3	-5.68958E-3	-40.5077E-9
3.76884E-3	142.025E-12	74.4499E-3	-5.28430E-3	-40.5077E-9
3.76382E-3	133.905E-12	75.4851E-3	-5.00240E-3	-40.5077E-9
3.75879E-3	136.672E-12	75.8774E-3	-4.16973E-3	-40.5077E-9
3.75377E-3	146.689E-12	75.3680E-3	-3.84854E-3	-40.5077E-9
3.74874E-3	146.519E-12	73.9986E-3	-3.15474E-3	-40.5077E-9
3.74372E-3	132.290E-12	72.2080E-3	-2.48129E-3	-40.5077E-9
3.73869E-3	127.536E-12	70.0795E-3	-2.74381E-3	-40.5077E-9
3.73367E-3	141.131E-12	68.3519E-3	-2.48522E-3	-40.5077E-9
3.72864E-3	152.625E-12	66.6952E-3	-2.85524E-3	-40.5077E-9
3.72362E-3	141.685E-12	66.6638E-3	-3.51731E-3	-40.5077E-9
3.71859E-3	130.396E-12	67.4760E-3	-3.81813E-3	-40.5077E-9
3.71357E-3	132.459E-12	69.7352E-3	-4.16879E-3	-40.5077E-9
3.70854E-3	145.374E-12	70.8369E-3	-4.42268E-3	-40.5077E-9
3.70352E-3	149.403E-12	70.0074E-3	-3.93445E-3	-40.5077E-9
3.69849E-3	136.684E-12	67.9465E-3	-4.55647E-3	-40.5077E-9
3.69347E-3	126.054E-12	65.1855E-3	-4.73694E-3	-40.5077E-9
3.68844E-3	131.476E-12	64.0413E-3	-4.97749E-3	-40.5077E-9
3.68342E-3	144.322E-12	64.3018E-3	-4.76805E-3	-40.5077E-9
3.67839E-3	145.067E-12	66.0840E-3	-3.51093E-3	-40.5077E-9
3.67337E-3	129.868E-12	68.5046E-3	-2.12374E-3	-40.5077E-9
