Experiment	bias spectroscopy	
Date	03.09.2013 13:01:55	
User		
X (m)	-232.045E-9	
Y (m)	42.0796E-9	
Z (m)	-41.2819E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	10E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-41.2806E-9	
Filter type	None	
Order		
Cutoff frq		
Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	0.004,0.003,2E-4,2.5E-2,200;0.003,0.0012,2E-4,5E-2,900;0.0012,-0.0012,2E-4,2.5E-2,200;-0.0012,-0.003,2E-4,5E-2,900;-0.003,-0.004,2E-4,2.5E-2,200	
Comment01	Pb(100) good resolution again	
Comment02	TimeConst = 50 ms	
Comment03	Gain           = 9	
Comment04	BiasSetpoint =250pA,5mV	
Comment05	Z-offset    = 0pm	
Comment06	Vrms         =10mVrms	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	5.21E-3	
Bias>Offset (V)	-115E-6	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	5000	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	500E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	10E-3	
Bias Spectroscopy>End Settling time (s)	500E-3	
Bias Spectroscopy>Z control time (s)	500E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V);Z (m)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	TRUE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	MLS	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	4E-3,3E-3,200E-6,25E-3,200;3E-3,1.2E-3,200E-6,50E-3,900;1.2E-3,-1.2E-3,200E-6,25E-3,200;-1.2E-3,-3E-3,200E-6,50E-3,900;-3E-3,-4E-3,200E-6,25E-3,200	
Current>Current (A)	200.306E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-700.44E-15	
Current>Gain	LN 10^9	
Piezo Calibration>Active Calib.	4.8K_JT-X,Y,Z_2011-06-08	
Piezo Calibration>Calib. X (m/V)	14.092E-9	
Piezo Calibration>Calib. Y (m/V)	14.092E-9	
Piezo Calibration>Calib. Z (m/V)	1.922E-9	
Piezo Calibration>HV Gain X	4	
Piezo Calibration>HV Gain Y	4	
Piezo Calibration>HV Gain Z	4	
Piezo Calibration>Tilt X (deg)	0.55	
Piezo Calibration>Tilt Y (deg)	0.76	
Piezo Calibration>Curvature radius X (m)	Inf	
Piezo Calibration>Curvature radius Y (m)	Inf	
Piezo Calibration>2nd order corr X (V/m^2)	0E+0	
Piezo Calibration>2nd order corr Y (V/m^2)	0E+0	
Piezo Calibration>Drift X (m/s)	0E+0	
Piezo Calibration>Drift Y (m/s)	0E+0	
Piezo Calibration>Drift Z (m/s)	0E+0	
Piezo Calibration>Drift correction status (on/off)	FALSE	
Z-Controller>Z (m)	-41.2745E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	200E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	3.73264E-12	
Z-Controller>I gain	72.238E-9	
Z-Controller>Time const (s)	51.6714E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Z (m)
4.00000E-3	157.377E-12	72.5593E-3	987.708E-6	-41.2819E-9
3.99498E-3	151.328E-12	72.4732E-3	2.40990E-3	-41.2819E-9
3.98995E-3	155.857E-12	73.0520E-3	3.33971E-3	-41.2819E-9
3.98492E-3	155.456E-12	73.6691E-3	3.59202E-3	-41.2819E-9
3.97990E-3	151.517E-12	74.4477E-3	2.50790E-3	-41.2819E-9
3.97487E-3	146.672E-12	74.1660E-3	1.31338E-3	-41.2819E-9
3.96985E-3	152.020E-12	73.9158E-3	-233.691E-6	-41.2819E-9
3.96482E-3	154.137E-12	72.9761E-3	-1.24418E-3	-41.2819E-9
3.95980E-3	158.244E-12	71.8209E-3	-1.32040E-3	-41.2819E-9
3.95477E-3	158.981E-12	70.2843E-3	-1.68600E-3	-41.2819E-9
3.94975E-3	153.409E-12	68.7521E-3	-466.821E-6	-41.2819E-9
3.94472E-3	150.223E-12	68.5797E-3	1.40184E-3	-41.2819E-9
3.93970E-3	153.298E-12	70.5146E-3	2.45792E-3	-41.2819E-9
3.93467E-3	151.222E-12	73.8060E-3	3.72504E-3	-41.2819E-9
3.92965E-3	145.317E-12	77.1221E-3	3.18145E-3	-41.2819E-9
3.92462E-3	145.103E-12	79.1111E-3	420.483E-6	-41.2819E-9
3.91960E-3	152.199E-12	79.1399E-3	-1.18273E-3	-41.2819E-9
3.91457E-3	153.944E-12	78.8737E-3	-2.93469E-3	-41.2819E-9
3.90955E-3	151.930E-12	77.7548E-3	-3.07070E-3	-41.2819E-9
3.90452E-3	148.058E-12	77.6721E-3	-2.04971E-3	-41.2819E-9
3.89950E-3	146.751E-12	77.7708E-3	-2.80020E-3	-41.2819E-9
3.89447E-3	153.902E-12	77.7007E-3	-3.68541E-3	-41.2819E-9
3.88945E-3	155.397E-12	78.6463E-3	-5.46637E-3	-41.2819E-9
3.88442E-3	142.721E-12	78.2019E-3	-7.13170E-3	-41.2819E-9
3.87940E-3	139.309E-12	76.8157E-3	-7.20305E-3	-41.2819E-9
3.87437E-3	151.792E-12	74.6152E-3	-6.98020E-3	-41.2819E-9
3.86935E-3	155.410E-12	71.8959E-3	-7.39855E-3	-41.2819E-9
3.86432E-3	147.261E-12	70.9183E-3	-6.36396E-3	-41.2819E-9
3.85930E-3	141.902E-12	71.3291E-3	-5.74102E-3	-41.2819E-9
3.85427E-3	143.811E-12	72.4737E-3	-4.53650E-3	-41.2819E-9
3.84925E-3	149.089E-12	73.8294E-3	-3.11040E-3	-41.2819E-9
3.84422E-3	151.458E-12	73.1749E-3	-3.27338E-3	-41.2819E-9
3.83920E-3	144.806E-12	71.7632E-3	-3.28607E-3	-41.2819E-9
3.83417E-3	138.933E-12	69.0482E-3	-3.63966E-3	-41.2819E-9
3.82915E-3	143.179E-12	66.3536E-3	-3.52947E-3	-41.2819E-9
3.82412E-3	153.150E-12	64.6949E-3	-2.72101E-3	-41.2819E-9
3.81910E-3	153.238E-12	64.2846E-3	-2.32139E-3	-41.2819E-9
3.81407E-3	150.588E-12	67.1138E-3	-2.30746E-3	-41.2819E-9
3.80905E-3	146.813E-12	69.9592E-3	-1.72067E-3	-41.2819E-9
3.80402E-3	146.733E-12	73.4111E-3	-1.83635E-3	-41.2819E-9
3.79900E-3	143.265E-12	75.4844E-3	-2.16188E-3	-41.2819E-9
3.79397E-3	140.026E-12	75.7419E-3	-2.34895E-3	-41.2819E-9
3.78894E-3	143.557E-12	75.7320E-3	-4.17587E-3	-41.2819E-9
3.78392E-3	144.709E-12	75.0471E-3	-5.97711E-3	-41.2819E-9
3.77889E-3	140.489E-12	74.5579E-3	-7.13071E-3	-41.2819E-9
3.77387E-3	139.143E-12	73.6747E-3	-7.21547E-3	-41.2819E-9
3.76884E-3	143.795E-12	72.3590E-3	-5.98866E-3	-41.2819E-9
